,ARREST_DATE, TOP_CHARGE_DESCRIPTION,HOME_PSA,CRIME_PSA
1607,7/22/19,Simple Assault,505,405
1608,7/22/19,Absconder (Custody Order),308,COURT
1609,7/23/19,Fugitive From Justice,Out of State,402
1610,7/23/19,Assault On A Police Officer (simple Assault),702,602
1611,7/23/19,Possession Of Bb Gun,701,602
1612,7/23/19,Simple Assault,604,703
1613,7/23/19,Robbery,407,403
1614,7/23/19,Failure To Appear (OAG),Out of State,COURT
1615,7/23/19,Robbery,Out of State,403
1616,7/23/19,Robbery,701,307
1617,7/24/19,Contempt Of Cpo/tpo,102,703
1618,7/24/19,Custody Order (Pre-Petition),102,703
1619,7/24/19,Failure To Appear (OAG),102,703
1620,7/24/19,Absconder (Custody Order),102,703
1621,7/24/19,Unlawful Entry,608,703
1622,7/24/19,Absconder (Custody Order),608,703
1623,7/24/19,CPWOL Outside Home or Business in violation of 2nd Emergency Act of 2014 Act 20-0564,UNKNOWN,704
1624,7/24/19,Custody Order (Pre-Petition),402,402
1625,7/25/19,Robbery,708,107
1626,7/25/19,Robbery,708,107
1627,7/25/19,Robbery,Out of State,703
1628,7/25/19,Receiving Stolen Property,708,703
1629,7/25/19,Contempt - Condition Of Release Violation,501,401
1630,7/25/19,Destruction Of Property Less Than $1000,708,107
1631,7/25/19,Robbery,706,107
1632,7/25/19,Robbery,708,604
1633,7/25/19,Absconder (Custody Order),106,DISTRICT/JPC
1634,7/26/19,Custody Order (Pre-Petition),703,703
1635,7/26/19,Affray,Out of State,703
1636,7/26/19,Affray,707,703
1637,7/26/19,Simple Assault,702,703
1638,7/26/19,Absconder (Custody Order),507,COURT
1639,7/26/19,Attempt To Commit Robbery,701,107
1640,7/26/19,Aggravated Assault,704,303
1641,7/26/19,No Permit,Out of State,105
1642,7/26/19,Unauthorized Use Of A Vehicle,706,105
1643,7/26/19,Failure To Appear (OAG),604,604
1644,7/26/19,Attempt To Commit Robbery,702,107
1645,7/26/19,Robbery,702,106
1646,7/26/19,Robbery,701,106
1647,7/27/19,Carry Pistol W/o Lic (misd),Out of State,705
1648,7/27/19,Carry Pistol W/o Lic (misd),705,705
1649,7/27/19,Carry Pistol W/o Lic (misd),705,705
1650,7/27/19,Vending - Vending Without A License,602,207
1651,7/27/19,Robbery,402,406
1652,7/27/19,Assault With A Dangerous Weapon,604,105
1653,7/27/19,While Armed,Out of State,104
1654,7/27/19,Robbery,507,104
1655,7/27/19,Vending - Vending Without A License,604,207
1656,7/27/19,Fugitive From Justice,304,302
1657,7/27/19,Unlawful Entry,703,105
1658,7/27/19,Robbery,507,104
1659,7/27/19,While Armed,601,104
1660,7/27/19,While Armed,101,104
1661,7/27/19,While Armed,507,104
1662,7/28/19,Robbery,704,703
1663,7/28/19,Robbery,604,703
1664,7/28/19,Theft Second Degree (theft From Building),Out of State,107
1665,7/28/19,Robbery,704,703
1666,7/28/19,Absconder (Custody Order),704,602
1667,7/28/19,Vending - Restricted Area,602,207
1668,7/29/19,Assault On A Police Officer (simple Assault),102,104
1669,7/29/19,Robbery,708,707
1670,7/29/19,Absconder (Custody Order),706,COURT
1671,7/29/19,Absconder (Custody Order),705,DISTRICT/JPC
1672,7/29/19,Possession Of Unregistered Ammunition,701,301
1673,7/29/19,Assault On A Police Officer (simple Assault),104,104
1674,7/29/19,Robbery,708,707
1675,7/29/19,Disorderly Conduct - Disrupting a Public Conveyance (M),501,101
1676,7/30/19,Unauthorized Use Of A Vehicle,407,405
1677,7/30/19,Absconder (Custody Order),106,COURT
1678,7/30/19,Simple Assault,503,306
1679,7/30/19,Leaving After Colliding- Property Damage,404,107
1680,7/30/19,Unauthorized Use Of A Vehicle,407,107
1681,7/30/19,Unauthorized Use Of A Vehicle,Out of State,405
1682,7/30/19,Unauthorized Use Of A Vehicle,404,405
1683,7/30/19,Unauthorized Use Of A Vehicle,302,405
1684,7/31/19,Threat To Kidnap Or Injure A Person,603,603
1685,7/31/19,Robbery,602,106
1686,7/31/19,Absconder (Custody Order),602,608
1687,7/31/19,Absconder (Custody Order),502,COURT
1688,7/31/19,Robbery,707,604
1689,7/31/19,Robbery,707,604
1690,7/31/19,Distribution Of Marijuana-misd,Out of State,104
1691,7/31/19,Robbery,703,106
1692,7/31/19,Fugitive From Justice,707,707
1693,8/1/19,Robbery,403,406
1694,8/1/19,Simple Assault,Out of State,503
1695,8/1/19,First Degree Child Sex Abuse (rape),501,702
1696,8/1/19,Armed Carjacking,604,106
1697,8/1/19,Poss W/i To Dist A Controlled Substance,708,708
1698,8/1/19,Custody Order (Pre-Petition),402,COURT
1699,8/1/19,Absconder (Custody Order),106,DISTRICT/JPC
1700,8/1/19,Theft Second Degree (all Other Larceny),304,501
1701,8/1/19,Simple Assault,304,303
1702,8/1/19,Absconder (Custody Order),106,COURT
1703,8/1/19,Absconder (Custody Order),604,DISTRICT/JPC
1704,8/1/19,Fugitive From Justice,604,DISTRICT/JPC
1705,8/1/19,Assault On A Police Officer (simple Assault),502,502
1706,8/1/19,Theft Second Degree (all Other Larceny),402,501
1707,8/2/19,Fugitive From Justice,Out of State,DISTRICT/JPC
1708,8/2/19,Armed Carjacking,702,705
1709,8/2/19,Absconder (Custody Order),604,604
1710,8/2/19,Resisting Arrest,607,106
1711,8/3/19,Armed Carjacking,702,705
1712,8/3/19,Armed Carjacking,UNKNOWN,705
1713,8/3/19,Theft Second Degree (all Other Larceny),Out of State,303
1714,8/3/19,Simple Assault,603,603
1715,8/4/19,Destruction Of Property Less Than $1000,702,702
1716,8/4/19,Assault With A Dangerous Weapon,604,604
1717,8/4/19,No Permit,Out of State,207
1718,8/4/19,Consumption of marijuana in public space prohibited,607,607
1719,8/5/19,Robbery,608,506
1720,8/5/19,Carry Dangerous Weapon- Felony,Out of State,207
1721,8/5/19,Operation of all-terrain vehicles and dirt bikes,Out of State,505
1722,8/5/19,Fugitive From Justice,708,COURT
1723,8/5/19,Theft Second Degree (all Other Larceny),704,306
1724,8/5/19,Theft Second Degree (all Other Larceny),702,306
1725,8/5/19,Distribution Of Marijuana-misd,Out of State,604
1726,8/5/19,Absconder (Custody Order),404,101
1727,8/6/19,Assault On A Police Officer (simple Assault),502,DISTRICT/JPC
1728,8/6/19,Simple Assault,705,507
1729,8/6/19,Fugitive From Justice,604,707
1730,8/6/19,Robbery,302,302
1731,8/6/19,Simple Assault,701,103
1732,8/6/19,Absconder (Custody Order),506,603
1733,8/7/19,CPWOL Outside Home or Business in violation of 2nd Emergency Act of 2014 Act 20-0564,608,602
1734,8/7/19,Absconder (Custody Order),506,101
1735,8/7/19,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,501,409
1736,8/7/19,Failure To Appear (OAG),701,DISTRICT/JPC
1737,8/8/19,Destruction Of Property Less Than $1000,604,604
1738,8/8/19,Poss Of A Controlled Substance -misd,Out of State,101
1739,8/9/19,Contempt Of Cpo/tpo,705,507
1740,8/9/19,Possession Of A Large Capacity Ammunition Feeding Device (and),Out of State,602
1741,8/9/19,Distribution Of Marijuana-misd,Out of State,708
1742,8/9/19,Simple Assault,106,106
1743,8/9/19,Simple Assault,704,106
1744,8/9/19,Reckless Driving,Out of State,602
1745,8/9/19,While Armed,507,106
1746,8/10/19,Assault On A Police Officer (simple Assault),506,DISTRICT/JPC
1747,8/10/19,Absconder (Custody Order),707,608
1748,8/10/19,Vending - Vending Without A License,607,108
1749,8/11/19,While Armed,UNKNOWN,302
1750,8/11/19,Assault W/i To Commit Robbery (simple Assault),304,302
1751,8/11/19,Failure To Appear (OAG),UNKNOWN,COURT
1752,8/11/19,Vending - Vending Without A License,607,207
1753,8/11/19,Assault W/i To Commit Robbery (simple Assault),505,302
1754,8/13/19,Unauthorized Use Of A Vehicle,105,603
1755,8/13/19,Attempt To Commit Robbery,702,301
1756,8/13/19,Attempt To Commit Robbery,503,301
1757,8/13/19,Assault On A Police Officer (simple Assault),601,207
1758,8/13/19,Assault On A Police Officer (simple Assault),604,305
1759,8/13/19,Aggravated Assault,601,303
1760,8/13/19,Attempt To Commit Robbery,503,301
1761,8/13/19,Simple Assault,503,301
1762,8/13/19,Attempt To Commit Robbery,702,301
1763,8/13/19,Theft Second Degree (all Other Larceny),503,503
1764,8/13/19,Threats To Do Bodily Harm -misd,602,602
1765,8/13/19,Simple Assault,404,407
1766,8/13/19,Second Degree Child Sex Abuse (F),Out of State,406
1767,8/13/19,Attempt To Commit Robbery,702,301
1768,8/13/19,Attempt To Commit Robbery,604,301
1769,8/13/19,Attempt To Commit Robbery,503,301
1770,8/13/19,Failure To Appear (OAG),604,307
1771,8/13/19,Shoplifting,706,207
1772,8/13/19,Attempt To Commit Robbery,604,301
1773,8/13/19,Simple Assault,702,301
1774,8/13/19,Failure To Appear (OAG),603,603
1775,8/13/19,Robbery,603,603
1776,8/14/19,Fugitive From Justice,403,405
1777,8/14/19,Unauthorized Use Of A Vehicle,608,304
1778,8/14/19,Destruction Of Property $1000 Or More,405,406
1779,8/14/19,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,608,708
1780,8/14/19,Absconder (Custody Order),703,COURT
1781,8/14/19,Fugitive From Justice,602,DISTRICT/JPC
1782,8/14/19,Absconder (Custody Order),604,DISTRICT/JPC
1783,8/14/19,Robbery,501,402
1784,8/14/19,Robbery,604,604
1785,8/14/19,Theft (theft From Motor Vehicle),104,505
1786,8/14/19,Simple Assault,605,605
1787,8/14/19,Possession Of Bb Gun,Out of State,306
1788,8/14/19,Fugitive From Justice,Out of State,DISTRICT/JPC
1789,8/15/19,Custody Order (Pre-Petition),705,COURT
1790,8/15/19,Absconder (Custody Order),302,COURT
1791,8/15/19,Custody Order (Pre-Petition),304,DISTRICT/JPC
1792,8/15/19,Robbery,507,104
1793,8/16/19,Armed Carjacking,708,207
1794,8/16/19,Armed Carjacking,708,207
1795,8/16/19,Armed Carjacking,501,207
1796,8/16/19,Armed Carjacking,501,207
1797,8/16/19,Carry Pistol W/o Lic -outside Home/business,706,706
1798,8/16/19,Unlawful Entry,302,301
1799,8/16/19,Resisting Arrest,701,301
1800,8/16/19,Robbery,501,207
1801,8/16/19,Absconder (Custody Order),602,602
1802,8/16/19,Absconder (Custody Order),604,604
1803,8/17/19,Custody Order (Pre-Petition),507,DISTRICT/JPC
1804,8/17/19,Fugitive From Justice,507,DISTRICT/JPC
1805,8/17/19,Carry Pistol W/o Lic -outside Home/business,703,705
1806,8/17/19,Absconder (Custody Order),704,702
1807,8/17/19,Robbery,707,708
1808,8/17/19,Simple Assault,105,105
1809,8/17/19,Unauthorized Use Of A Vehicle,106,705
1810,8/18/19,Unauthorized Use Of A Vehicle,507,108
1811,8/18/19,Simple Assault,607,405
1812,8/19/19,Threats To Do Bodily Harm -misd,704,604
1813,8/20/19,Theft Second Degree (theft From Motor Vehicle),UNKNOWN,106
1814,8/20/19,Custody Order (Pre-Petition),307,307
1815,8/20/19,Custody Order (Pre-Petition),402,504
1816,8/20/19,Absconder (Custody Order),306,COURT
1817,8/20/19,Distribution Of Marijuana-misd,402,404
1818,8/21/19,Simple Assault,708,708
1819,8/21/19,Simple Assault,104,607
1820,8/21/19,Custody Order (Pre-Petition),302,COURT
1821,8/21/19,Failure To Appear (OAG),Out of State,DISTRICT/JPC
1822,8/22/19,Robbery,602,608
1823,8/22/19,Possession Of Bb Gun,304,403
1824,8/22/19,Custody Order (Pre-Petition),405,505
1825,8/23/19,No Permit,602,602
1826,8/23/19,Absconder (Custody Order),701,701
1827,8/23/19,Unlawful Entry,105,105
1828,8/23/19,Unauthorized Use Of A Vehicle,302,608
1829,8/23/19,Custody Order (Pre-Petition),607,COURT
1830,8/23/19,Theft Second Degree (all Other Larceny),407,405
1831,8/23/19,Theft Second Degree (all Other Larceny),105,103
1832,8/23/19,Theft Second Degree (all Other Larceny),105,103
1833,8/23/19,Custody Order (Pre-Petition),302,608
1834,8/23/19,Theft Second Degree (theft From Building),105,103
1835,8/24/19,Absconder (Custody Order),701,701
1836,8/24/19,Absconder (Custody Order),704,208
1837,8/24/19,Failure To Appear (OAG),706,COURT
1838,8/25/19,Simple Assault,708,708
1839,8/25/19,Absconder (Custody Order),703,703
1840,8/26/19,Simple Assault,503,302
1841,8/26/19,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,603,603
1842,8/26/19,Simple Assault,304,304
1843,8/26/19,Failure To Appear (OAG),603,COURT
1844,8/27/19,Simple Assault,503,308
1845,8/27/19,Simple Assault,Out of State,607
1846,8/27/19,Failure To Appear (OAG),602,COURT
1847,8/27/19,Fugitive From Justice,Out of State,DISTRICT/JPC
1848,8/27/19,Simple Assault,602,303
1849,8/27/19,Simple Assault,703,303
1850,8/27/19,Custody Order (Pre-Petition),409,COURT
1851,8/27/19,Custody Order (Pre-Petition),706,COURT
1852,8/28/19,Receiving Stolen Property,407,209
1853,8/28/19,Second Degree Child Sex Abuse (F),507,507
1854,8/28/19,Absconder (Custody Order),604,604
1855,8/28/19,Second Degree Child Sex Abuse (F),703,601
1856,8/28/19,Driving Under Influence-1st Off,Out of State,405
1857,8/29/19,Absconder (Custody Order),506,101
1858,8/30/19,Threats To Kidnap/injure A Person/damage Property,706,706
1859,8/30/19,Robbery,304,304
1860,8/30/19,Robbery,304,302
1861,8/30/19,Affray,304,404
1862,8/30/19,Disorderly Conduct - Disrupting Use Of A Public Conveyance,706,103
1863,8/30/19,Threats To Do Bodily Harm -misd,304,304
1864,8/30/19,Affray,603,404
1865,8/30/19,Affray,408,404
1866,8/30/19,Affray,304,404
1867,8/30/19,Fugitive From Justice,608,101
1868,8/30/19,Failure To Appear (OAG),106,COURT
1869,8/31/19,Simple Assault,106,106
1870,8/31/19,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,105,105
1871,8/31/19,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,505,505
1872,8/31/19,Assault W/i To Commit Robbery (aggravated Assault),304,302
1873,8/31/19,Aggravated Assault,504,103
1874,8/31/19,Assault W/i To Commit Robbery (aggravated Assault),304,302
1875,9/1/19,Assault With A Dangerous Weapon,105,106
1876,9/1/19,Leaving After Colliding- Property Damage,407,701
1877,9/1/19,Assault With A Dangerous Weapon,105,106
1878,9/1/19,Custody Order (Pre-Petition),702,103
1879,9/1/19,Unauthorized Use Of A Vehicle,302,701
1880,9/1/19,Aggravated Assault,402,103
1881,9/2/19,Simple Assault,607,607
1882,9/2/19,Simple Assault,503,503
1883,9/2/19,Absconder (Custody Order),503,506
1884,9/2/19,Simple Assault,704,704
1885,9/2/19,Threats To Do Bodily Harm -misd,302,302
1886,9/2/19,Fugitive From Justice,708,705
1887,9/2/19,Fugitive From Justice,705,705
1888,9/2/19,Robbery,506,708
1889,9/2/19,Assault With A Dangerous Weapon,507,507
1890,9/2/19,Simple Assault,404,307
1891,9/3/19,Simple Assault,503,604
1892,9/3/19,Robbery,106,106
1893,9/3/19,Simple Assault,605,605
1894,9/3/19,Fugitive From Justice,705,COURT
1895,9/4/19,Fugitive From Justice,304,COURT
1896,9/4/19,Resisting Arrest,707,703
1897,9/4/19,Second Degree Child Sex Abuse (F),604,604
1898,9/4/19,Custody Order (Pre-Petition),702,COURT
1899,9/4/19,Absconder (Custody Order),701,COURT
1900,9/5/19,Sex Abuse- Misd,105,106
1901,9/5/19,Sex Abuse- Misd,105,106
1902,9/5/19,Sex Abuse- Misd,105,106
1903,9/5/19,Sex Abuse- Misd,105,106
1904,9/5/19,Poss Prohibited Weapon,405,302
1905,9/5/19,Sex Abuse- Misd,105,106
1906,9/5/19,Poss W/i To Dist A Controlled Substance,306,204
1907,9/5/19,Simple Assault,601,602
1908,9/5/19,Simple Assault,704,602
1909,9/5/19,Absconder (Custody Order),502,707
1910,9/5/19,Failure To Appear (OAG),308,308
1911,9/5/19,Simple Assault,603,704
1912,9/5/19,Simple Assault,602,704
1913,9/5/19,Unlawful Entry,601,507
1914,9/5/19,First Degree Sexual Abuse,705,705
1915,9/5/19,Robbery,405,404
1916,9/5/19,Second Degree Child Sex Abuse (F),603,605
1917,9/5/19,Absconder (Custody Order),707,707
1918,9/5/19,Carry Pistol W/o Lic -outside Home/business,707,707
1919,9/5/19,Absconder (Custody Order),603,504
1920,9/6/19,Unlawful Entry,105,507
1921,9/6/19,First Degree Sexual Abuse,704,705
1922,9/6/19,Unauthorized Use Of A Vehicle,706,602
1923,9/6/19,Unauthorized Use Of A Vehicle,601,602
1924,9/6/19,Unauthorized Use Of A Vehicle,605,602
1925,9/6/19,Assault With A Dangerous Weapon,602,608
1926,9/6/19,Unlawful Entry,704,507
1927,9/6/19,No Permit,706,602
1928,9/6/19,Disorderly Conduct - Disrupting Use Of A Public Conveyance,706,505
1929,9/7/19,Simple Assault,502,502
1930,9/7/19,Robbery,308,307
1931,9/7/19,Failure To Appear (OAG),607,607
1932,9/7/19,No Permit,701,507
1933,9/7/19,Robbery,Out of State,305
1934,9/7/19,Absconder (Custody Order),Out of State,505
1935,9/7/19,Robbery,308,307
1936,9/7/19,Simple Assault,704,704
1937,9/7/19,Unauthorized Use Of A Vehicle,701,507
1938,9/7/19,Robbery,304,305
1939,9/7/19,Robbery,Out of State,701
1940,9/7/19,Assault With A Dangerous Weapon,704,704
1941,9/8/19,Failure To Appear (OAG),506,506
1942,9/8/19,Fugitive From Justice,506,COURT
1943,9/8/19,Theft Second Degree (theft From Building),604,209
1944,9/8/19,Theft Second Degree (theft From Building),605,209
1945,9/8/19,Theft Second Degree (theft From Building),708,209
1946,9/8/19,Theft Second Degree (theft From Building),308,209
1947,9/9/19,Simple Assault,601,601
1948,9/9/19,Simple Assault,703,707
1949,9/9/19,Robbery,105,105
1950,9/9/19,Assault On A Police Officer (simple Assault),602,602
1951,9/9/19,Absconder (Custody Order),108,COURT
1952,9/9/19,Absconder (Custody Order),704,COURT
1953,9/10/19,Simple Assault,Out of State,703
1954,9/10/19,Absconder (Custody Order),306,307
1955,9/10/19,Simple Assault,608,404
1956,9/10/19,CPWOL Outside Home or Business in violation of 2nd Emergency Act of 2014 Act 20-0564,708,708
1957,9/10/19,Absconder (Custody Order),507,104
1958,9/10/19,Assault On A Police Officer (simple Assault),402,402
1959,9/10/19,Assault On A Police Officer (aggravated Assault),406,402
1960,9/10/19,Burglary Two,705,705
1961,9/10/19,Burglary One,302,403
1962,9/10/19,Robbery,402,402
1963,9/10/19,Unauthorized Use Of A Vehicle,507,COURT
1964,9/10/19,No Permit,507,COURT
1965,9/11/19,Assault W/i To Commit Robbery (simple Assault),Out of State,101
1966,9/11/19,Robbery,Out of State,504
1967,9/11/19,Robbery,Out of State,504
1968,9/11/19,Carjacking,602,307
1969,9/11/19,Theft First Degree (Stolen Auto),Out of State,308
1970,9/11/19,Robbery,Out of State,502
1971,9/11/19,Assault W/i To Commit Robbery (simple Assault),602,101
1972,9/11/19,Assault W/i To Commit Robbery (aggravated Assault),602,107
1973,9/11/19,Robbery,602,504
1974,9/11/19,Disorderly Conduct - Disrupting a Public Conveyance (M),105,207
1975,9/11/19,Unlawful Entry,704,207
1976,9/11/19,Failure To Appear (OAG),702,607
1977,9/11/19,Carjacking,Out of State,307
1978,9/11/19,Theft First Degree (Stolen Auto),602,308
1979,9/11/19,Robbery,602,502
1980,9/11/19,Simple Assault,Out of State,106
1981,9/11/19,Simple Assault,602,106
1982,9/11/19,Distribution Of Marijuana-misd,304,304
1983,9/11/19,Poss W/i To Dist Marijuana-misd,707,705
1984,9/11/19,Resisting Arrest,302,302
1985,9/11/19,Assault W/i To Commit Robbery (aggravated Assault),Out of State,107
1986,9/11/19,Simple Assault,602,602
1987,9/11/19,Robbery,Out of State,502
1988,9/11/19,Robbery,602,502
1989,9/12/19,Disorderly Conduct - Inciting Violence (M),608,602
1990,9/12/19,Robbery,602,608
1991,9/12/19,Mayhem,507,106
1992,9/12/19,Simple Assault,108,602
1993,9/12/19,Robbery,503,209
1994,9/12/19,Robbery,107,209
1995,9/12/19,Robbery,602,608
1996,9/12/19,Robbery,702,602
1997,9/12/19,Robbery,603,602
1998,9/12/19,Mayhem,705,106
1999,9/12/19,Mayhem,106,106
2000,9/12/19,Aggravated Assault,706,106
2001,9/12/19,Assault W/i To Kill,308,105
2002,9/12/19,Credit Card Fraud-misd,503,209
2003,9/12/19,Unauthorized Use Of A Vehicle,603,704
2004,9/12/19,Carry Pistol W/o Lic -outside Home/business,603,702
2005,9/12/19,Simple Assault,708,502
2006,9/12/19,Absconder (Custody Order),702,COURT
2007,9/12/19,Fugitive From Justice,503,COURT
2008,9/12/19,Fugitive From Justice,302,COURT
2009,9/12/19,Theft Second Degree (all Other Larceny),503,101
2010,9/13/19,Robbery,207,608
2011,9/13/19,Robbery,701,701
2012,9/13/19,Theft Second Degree (theft From Building),201,202
2013,9/14/19,Possession Of Bb Gun,607,506
2014,9/14/19,Absconder (Custody Order),607,506
2015,9/14/19,Fugitive From Justice,607,506
2016,9/15/19,Simple Assault,Out of State,106
2017,9/15/19,Simple Assault,103,106
2018,9/15/19,Robbery,Out of State,308
2019,9/15/19,Robbery,Out of State,308
2020,9/15/19,Simple Assault,605,605
2021,9/15/19,Simple Assault,706,106
2022,9/15/19,Absconder (Custody Order),103,106
2023,9/16/19,Tampering Of Gps Device,701,106
2024,9/16/19,Custody Order (Pre-Petition),405,703
2025,9/16/19,First Degree Sexual Abuse,603,603
2026,9/16/19,Simple Assault,407,407
2027,9/16/19,First Degree Sexual Abuse,603,603
2028,9/16/19,Simple Assault,707,707
2029,9/16/19,Unlawful Entry,102,103
2030,9/17/19,Affray,705,703
2031,9/17/19,Possession Of Bb Gun,603,506
2032,9/17/19,Absconder (Custody Order),304,COURT
2033,9/17/19,Absconder (Custody Order),407,COURT
2034,9/17/19,Destruction Of Property $1000 Or More,Out of State,507
2035,9/17/19,Leaving After Colliding- Property Damage,Out of State,507
2036,9/17/19,Failure To Appear (OAG),302,COURT
2037,9/18/19,Simple Assault,106,106
2038,9/18/19,Receiving Stolen Property,304,304
2039,9/18/19,Aggravated Assault,106,303
2040,9/18/19,Absconder (Custody Order),707,105
2041,9/18/19,Failure To Appear (OAG),604,COURT
2042,9/18/19,Absconder (Custody Order),304,COURT
2043,9/18/19,Failure To Appear (OAG),602,DISTRICT/JPC
2044,9/18/19,Fugitive From Justice,405,DISTRICT/JPC
2045,9/18/19,Unauthorized Use Of A Vehicle,106,608
2046,9/18/19,Unauthorized Use Of A Vehicle,602,608
2047,9/18/19,Unauthorized Use Of A Vehicle,106,608
2048,9/18/19,Unauthorized Use Of A Vehicle,602,608
2049,9/18/19,Robbery,602,301
2050,9/18/19,Fugitive From Justice,602,COURT
2051,9/18/19,Unauthorized Use Of A Vehicle,601,608
2052,9/18/19,Unauthorized Use Of A Vehicle,106,608
2053,9/19/19,Possess Prohibited Weapon,Out of State,403
2054,9/19/19,Fugitive From Justice,701,701
2055,9/19/19,Absconder (Custody Order),604,COURT
2056,9/19/19,Simple Assault,606,704
2057,9/19/19,Simple Assault,505,COURT
2058,9/19/19,Simple Assault,507,108
2059,9/19/19,Possession Of Destructive Device,105,307
2060,9/19/19,Possess Prohibited Weapon,304,302
2061,9/19/19,Poss Prohibited Weapon,408,408
2062,9/19/19,Custody Order (Pre-Petition),601,COURT
2063,9/19/19,Failure To Appear (OAG),601,COURT
2064,9/19/19,Poss W/i To Dist A Controlled Substance,Out of State,604
2065,9/19/19,Simple Assault,505,COURT
2066,9/19/19,Absconder (Custody Order),Out of State,106
2067,9/20/19,Simple Assault,703,705
2068,9/20/19,First Degree Child Sex Abuse (rape),701,604
2069,9/20/19,Absconder (Custody Order),107,COURT
2070,9/21/19,Simple Assault,607,607
2071,9/21/19,Robbery,302,206
2072,9/21/19,Robbery,402,206
2073,9/21/19,Robbery,204,206
2074,9/22/19,Simple Assault,506,506
2075,9/22/19,Possession Of Bb Gun,Out of State,303
2076,9/22/19,Theft Second Degree (all Other Larceny),504,603
2077,9/22/19,Theft Second Degree (theft From Building),302,302
2078,9/22/19,Absconder (Custody Order),604,604
2079,9/23/19,Absconder (Custody Order),507,209
2080,9/23/19,Unlawful Entry,302,COURT
2081,9/23/19,Simple Assault,303,106
2082,9/23/19,Shoplifting,507,209
2083,9/23/19,Custody Order (Pre-Petition),302,302
2084,9/24/19,Simple Assault,503,308
2085,9/24/19,Fugitive From Justice,402,COURT
2086,9/24/19,Absconder (Custody Order),602,COURT
2087,9/24/19,Fugitive From Justice,402,COURT
2088,9/24/19,Absconder (Custody Order),306,COURT
2089,9/24/19,Custody Order (Pre-Petition),Out of State,402
2090,9/24/19,Robbery,607,307
2091,9/25/19,Robbery,502,501
2092,9/25/19,No Permit,Out of State,403
2093,9/25/19,Robbery,104,501
2094,9/25/19,Simple Assault,UNKNOWN,305
2095,9/25/19,Fugitive From Justice,604,COURT
2096,9/25/19,Custody Order (Pre-Petition),702,DISTRICT/JPC
2097,9/25/19,Assault On A Police Officer (simple Assault),604,604
2098,9/25/19,Absconder (Custody Order),106,101
2099,9/25/19,Unlawful Entry Of A Motor Vehicle,502,502
2100,9/25/19,Threats To Do Bodily Harm -misd,105,108
2101,9/25/19,Unauthorized Use Of A Vehicle,Out of State,403
2102,9/25/19,Robbery,506,302
2103,9/25/19,Robbery,702,302
2104,9/25/19,Custody Order (Pre-Petition),702,608
2105,9/26/19,Assault On A Police Officer (simple Assault),406,402
2106,9/26/19,Robbery,106,108
2107,9/26/19,Absconder (Custody Order),403,DISTRICT/JPC
2108,9/26/19,Robbery,702,704
2109,9/26/19,Custody Order (Pre-Petition),304,COURT
2110,9/26/19,Unauthorized Use Of A Vehicle,603,COURT
2111,9/26/19,Shoplifting,406,406
2112,9/26/19,Robbery,704,704
2113,9/26/19,Simple Assault,604,602
2114,9/26/19,Absconder (Custody Order),405,COURT
2115,9/26/19,Fugitive From Justice,407,DISTRICT/JPC
2116,9/27/19,Assault With A Dangerous Weapon,106,106
2117,9/27/19,Simple Assault,106,108
2118,9/27/19,Absconder (Custody Order),407,108
2119,9/27/19,Simple Assault,703,707
2120,9/27/19,Simple Assault,707,707
2121,9/27/19,Aggravated Assault,409,409
2122,9/27/19,Simple Assault,705,101
2123,9/28/19,Carry Pistol W/o Lic -outside Home/business,505,505
2124,9/28/19,Threats To Do Bodily Harm -misd,Out of State,405
2125,9/29/19,Assault On A Police Officer (simple Assault),702,702
2126,9/29/19,Theft Second Degree (all Other Larceny),304,304
2127,9/29/19,Unauthorized Use Of A Vehicle,404,506
2128,9/29/19,Deface Private/public Property,602,602
2129,9/29/19,Simple Assault,601,602
2130,9/30/19,Failure To Appear (OAG),105,105
2131,9/30/19,Robbery,408,305
2132,9/30/19,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,608,507
2133,9/30/19,Simple Assault,702,507
2134,9/30/19,Unlawful Entry,302,302
2135,9/30/19,Robbery,601,305
2136,10/1/19,Robbery,507,506
2137,10/1/19,Robbery,105,305
2138,10/1/19,Simple Assault,702,702
2139,10/1/19,Simple Assault,505,602
2140,10/1/19,Simple Assault,302,304
2141,10/1/19,Resisting Arrest,704,101
2142,10/2/19,Assault On A Police Officer (simple Assault),UNKNOWN,506
2143,10/2/19,First Degree Sexual Abuse,701,501
2144,10/2/19,Assault On A Police Officer (simple Assault),607,107
2145,10/2/19,Simple Assault,407,501
2146,10/2/19,Unauthorized Use Of A Vehicle,608,207
2147,10/2/19,Tampering Of Gps Device,403,404
2148,10/2/19,Failure To Appear (OAG),607,COURT
2149,10/2/19,Absconder (Custody Order),105,COURT
2150,10/2/19,Robbery,Out of State,101
2151,10/2/19,Absconder (Custody Order),705,108
2152,10/2/19,Assault W/i To Commit Robbery (simple Assault),Out of State,106
2153,10/2/19,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,607,701
2154,10/2/19,Unlawful Entry,703,107
